,Semana,bellver: (Suiza),formentor: (Suiza),palma aquarium: (Suiza),soller: (Suiza),cala galdana: (Suiza),cala mitjana: (Suiza),albufera: (Suiza),es vedra: (Suiza),ses salines: (Suiza),cala salada: (Suiza),magaluf: (Suiza)
74,2017-01-01,0,0,0,50,37,0,30,0,33,0,17
75,2017-01-08,0,0,0,38,0,45,41,45,0,50,12
76,2017-01-15,0,13,0,25,0,0,41,0,30,50,22
77,2017-01-22,0,13,28,15,50,0,55,0,30,0,28
78,2017-01-29,0,0,28,56,0,0,37,0,30,0,28
79,2017-02-05,0,0,0,30,0,0,46,0,0,0,28
80,2017-02-12,0,14,29,57,0,0,42,0,0,0,13
81,2017-02-19,41,14,0,36,0,0,55,0,0,0,31
82,2017-02-26,40,0,27,35,32,0,40,0,30,0,21
83,2017-03-05,40,0,0,29,32,0,35,43,0,0,18
84,2017-03-12,0,0,0,30,32,0,40,0,0,0,27
85,2017-03-19,0,13,0,49,32,0,27,0,0,48,39
86,2017-03-26,42,0,0,51,0,0,41,0,0,50,38
87,2017-04-02,0,20,0,69,100,0,28,0,0,0,34
88,2017-04-09,45,15,0,62,37,0,46,0,0,55,31
89,2017-04-16,0,0,0,50,36,0,30,0,33,0,17
90,2017-04-23,0,13,0,25,33,0,41,44,0,0,40
91,2017-04-30,0,13,0,45,49,0,95,0,30,0,33
92,2017-05-07,40,22,0,74,0,0,44,43,44,0,36
93,2017-05-14,42,21,29,21,34,0,28,0,0,0,32
94,2017-05-21,0,31,0,40,38,50,62,0,0,0,46
95,2017-05-28,0,14,0,37,35,0,43,0,0,0,36
96,2017-06-04,0,14,0,47,0,0,28,0,31,0,45
97,2017-06-11,0,28,0,37,70,0,57,0,0,52,98
98,2017-06-18,0,29,30,27,35,47,48,0,0,0,59
99,2017-06-25,87,14,30,59,53,0,0,0,0,52,52
100,2017-07-02,45,15,31,56,55,0,45,49,0,0,75
101,2017-07-09,0,15,31,90,37,0,45,49,100,55,75
102,2017-07-16,48,16,33,42,0,0,97,52,72,58,73
103,2017-07-23,0,31,33,29,38,0,63,0,35,86,93
104,2017-07-30,0,24,33,73,40,0,49,53,72,0,100
105,2017-08-06,43,42,44,47,34,46,43,0,0,51,22
106,2017-08-13,0,21,29,32,35,0,71,46,0,0,45
107,2017-08-20,0,20,29,36,34,0,56,0,31,0,47
108,2017-08-27,39,13,27,34,0,0,66,42,0,48,48
109,2017-09-03,41,13,0,45,0,0,27,43,0,49,24
110,2017-09-10,40,26,27,35,32,0,53,0,59,0,39
111,2017-09-17,0,0,28,35,64,0,54,43,0,0,27
112,2017-09-24,41,0,27,50,33,0,27,0,30,0,15
113,2017-10-01,41,18,28,61,0,0,27,44,31,0,9
114,2017-10-08,42,14,0,62,0,0,55,0,0,0,19
115,2017-10-15,41,13,28,15,0,0,0,44,30,0,19
116,2017-10-22,0,12,0,36,0,0,26,0,0,0,18
117,2017-10-29,0,0,0,43,0,0,0,0,0,0,17
118,2017-11-05,76,0,0,23,0,0,25,0,0,0,9
119,2017-11-12,0,0,0,14,0,0,0,0,0,0,14
120,2017-11-19,37,0,0,28,0,0,50,0,0,0,0
121,2017-11-26,0,12,0,23,0,0,25,0,0,46,0
122,2017-12-03,0,0,0,29,0,0,26,0,0,0,22
123,2017-12-10,0,0,0,14,0,0,0,0,0,0,9
124,2017-12-17,0,0,0,30,0,0,0,0,0,0,9
125,2017-12-24,0,16,0,30,78,0,48,0,36,0,11
126,2017-12-31,0,0,0,31,34,0,28,0,0,0,19
127,2018-01-07,0,12,0,55,30,0,37,0,0,0,17
128,2018-01-14,0,18,0,40,29,0,48,39,27,0,19
129,2018-01-21,37,12,0,18,29,0,24,0,0,0,25
130,2018-01-28,38,25,26,33,30,0,76,0,0,45,28
131,2018-02-04,38,0,51,23,30,0,25,0,28,0,17
132,2018-02-11,38,0,0,23,31,41,0,41,0,0,14
133,2018-02-18,0,12,0,37,30,0,76,0,0,0,30
134,2018-02-25,37,12,25,41,30,0,62,40,27,44,12
135,2018-03-04,0,12,25,68,0,0,49,0,27,0,36
136,2018-03-11,0,12,0,31,30,0,32,0,27,0,33
137,2018-03-18,0,25,0,55,30,0,49,39,55,0,20
138,2018-03-25,39,25,0,53,31,0,26,82,29,0,15
139,2018-04-01,41,20,0,52,68,0,28,0,0,0,38
140,2018-04-08,0,19,0,44,0,0,26,0,29,47,24
141,2018-04-15,0,13,0,54,32,0,40,0,29,0,42
142,2018-04-22,39,0,0,48,0,0,39,0,29,0,38
143,2018-04-29,39,19,0,38,31,42,39,0,0,0,38
144,2018-05-06,0,13,27,65,65,0,27,0,30,0,39
145,2018-05-13,37,12,0,51,30,0,25,40,28,0,34
146,2018-05-20,0,13,27,49,0,0,0,0,58,0,35
147,2018-05-27,38,13,0,57,62,0,43,0,28,0,23
148,2018-06-03,0,12,26,47,0,0,38,41,28,0,40
149,2018-06-10,0,0,25,45,30,40,57,0,27,0,28
150,2018-06-17,38,12,0,47,0,0,25,0,0,46,43
151,2018-06-24,0,13,0,36,31,42,52,41,0,47,55
152,2018-07-01,0,25,26,62,31,0,77,41,0,0,40
153,2018-07-08,0,13,0,38,33,45,55,44,0,49,71
154,2018-07-15,0,21,29,53,0,0,43,0,63,78,90
155,2018-07-22,0,14,0,22,71,0,29,47,0,0,53
156,2018-07-29,91,15,0,51,37,100,41,49,0,55,69
157,2018-08-05,0,20,0,60,0,44,64,0,0,0,55
158,2018-08-12,0,17,0,34,64,43,78,43,29,0,30
159,2018-08-19,0,13,0,52,31,42,68,0,29,46,61
160,2018-08-26,0,12,0,51,31,0,25,0,28,0,26
161,2018-09-02,0,13,27,24,31,0,26,0,0,0,29
162,2018-09-09,39,13,0,57,0,0,26,42,29,0,29
163,2018-09-16,0,25,26,42,0,0,34,0,0,46,14
164,2018-09-23,38,0,0,24,0,42,26,0,0,0,26
165,2018-09-30,39,13,0,19,32,0,52,42,0,0,12
166,2018-10-07,0,13,0,50,0,44,27,0,0,0,23
167,2018-10-14,0,0,0,54,32,0,27,0,59,0,12
168,2018-10-21,38,13,53,38,0,42,26,0,29,0,12
169,2018-10-28,0,0,25,27,29,0,25,40,0,0,8
170,2018-11-04,0,12,50,31,29,0,24,0,0,0,0
171,2018-11-11,37,0,26,32,0,0,50,0,0,0,14
172,2018-11-18,0,0,0,20,0,0,24,0,0,0,11
173,2018-11-25,0,0,0,18,0,0,24,0,0,0,24
174,2018-12-02,75,0,0,28,0,0,0,0,27,0,17
175,2018-12-09,38,0,0,14,0,0,25,40,56,0,11
176,2018-12-16,39,13,0,29,31,0,26,0,0,0,9
177,2018-12-23,0,15,0,23,38,0,42,0,0,0,14
178,2018-12-30,0,14,0,39,0,45,0,0,0,0,29
179,2019-01-06,0,0,24,22,0,0,71,0,26,0,24
180,2019-01-13,0,0,0,40,29,0,49,0,27,0,14
181,2019-01-20,0,12,0,22,29,0,47,0,26,0,16
182,2019-01-27,0,0,0,61,57,0,35,0,26,0,13
183,2019-02-03,0,24,0,32,30,0,41,0,27,0,17
184,2019-02-10,0,12,0,23,0,0,25,0,27,0,28
185,2019-02-17,0,16,0,41,30,0,37,0,0,0,17
186,2019-02-24,36,68,0,41,30,0,0,0,0,0,17
187,2019-03-03,0,19,0,57,28,0,24,0,0,0,20
188,2019-03-10,0,16,0,40,0,0,0,0,0,0,20
189,2019-03-17,36,20,0,32,0,40,25,0,0,45,19
190,2019-03-24,37,12,0,46,0,0,62,0,0,0,17
191,2019-03-31,0,12,0,63,0,0,61,0,0,0,25
192,2019-04-07,68,22,0,34,27,0,46,0,76,0,23
193,2019-04-14,80,17,0,40,0,43,53,0,30,0,30
194,2019-04-21,40,0,0,52,0,0,27,0,0,0,45
195,2019-04-28,0,19,0,44,28,0,39,0,0,0,32
196,2019-05-05,0,17,24,48,0,0,32,0,0,86,32
197,2019-05-12,36,12,0,27,44,0,32,0,27,0,35
198,2019-05-19,36,20,25,53,0,0,96,38,0,44,46
199,2019-05-26,39,25,26,52,32,0,34,84,0,0,49
200,2019-06-02,36,24,0,32,29,0,25,0,0,44,33
201,2019-06-09,36,24,0,40,59,0,24,38,26,0,30
202,2019-06-16,0,30,26,21,45,0,62,0,27,0,28
203,2019-06-23,0,13,27,34,31,0,39,42,0,0,41
204,2019-06-30,0,25,26,52,31,0,60,41,57,46,38
205,2019-07-07,39,25,27,33,31,0,26,0,29,0,67
206,2019-07-14,41,14,0,51,34,0,28,44,92,50,56
207,2019-07-21,0,15,0,71,36,0,44,0,0,53,77
208,2019-07-28,45,15,31,61,72,0,50,0,0,0,51
209,2019-08-04,0,20,28,56,33,90,41,44,31,100,40
210,2019-08-11,0,17,0,56,30,0,25,0,0,0,54
211,2019-08-18,0,24,0,41,0,0,0,39,0,0,22
212,2019-08-25,0,12,25,63,30,0,24,0,0,0,47
213,2019-09-01,0,34,24,22,28,0,47,0,0,0,18
214,2019-09-08,0,20,0,32,30,0,24,0,68,0,41
215,2019-09-15,0,16,0,36,0,0,0,0,0,0,14
216,2019-09-22,36,18,0,33,0,0,48,38,0,0,22
217,2019-09-29,36,24,0,80,29,39,40,0,0,0,22
218,2019-10-06,0,12,50,31,0,0,24,0,0,44,22
219,2019-10-13,0,47,0,36,44,0,24,0,54,44,24
220,2019-10-20,35,19,24,43,0,0,46,0,0,0,8
221,2019-10-27,0,11,0,32,0,0,23,38,0,0,8
222,2019-11-03,34,11,0,13,0,0,23,0,25,0,12
223,2019-11-10,0,17,0,32,0,0,23,0,0,0,0
224,2019-11-17,0,11,23,21,0,0,46,0,0,0,8
225,2019-11-24,0,0,0,13,0,0,23,0,0,0,15
226,2019-12-01,0,11,0,19,0,37,23,0,0,0,8
227,2019-12-08,34,0,0,13,27,0,0,0,0,0,8
228,2019-12-15,0,19,0,30,0,0,23,0,0,0,12
229,2019-12-22,0,27,0,15,0,0,28,0,0,0,0
230,2019-12-29,0,0,0,22,0,0,27,0,0,0,12
231,2020-01-05,0,33,0,25,27,0,30,0,0,0,15
232,2020-01-12,0,16,0,36,39,0,65,0,0,0,15
233,2020-01-19,0,18,23,41,27,0,44,35,0,0,7
234,2020-01-26,33,16,45,37,53,36,33,0,0,0,17
235,2020-02-02,0,11,0,25,0,0,22,0,25,0,17
236,2020-02-09,0,11,0,19,27,0,33,0,0,0,17
237,2020-02-16,33,11,23,25,41,0,33,0,0,40,11
238,2020-02-23,32,17,0,12,0,0,21,0,0,0,14
239,2020-03-01,0,100,0,24,0,0,21,0,0,0,18
240,2020-03-08,0,35,0,17,0,0,0,33,23,0,10
241,2020-03-15,0,15,0,34,0,0,20,0,0,0,7
242,2020-03-22,0,24,0,17,0,0,20,0,0,0,7
243,2020-03-29,31,15,0,19,0,0,0,0,0,0,0
244,2020-04-05,0,11,0,12,0,0,0,0,0,0,15
245,2020-04-12,0,16,0,12,26,0,32,0,48,0,7
246,2020-04-19,0,25,0,11,0,0,0,0,23,0,0
247,2020-04-26,29,22,0,22,0,0,20,31,22,0,16
248,2020-05-03,31,20,0,11,0,0,20,0,23,0,7
249,2020-05-10,0,40,0,22,0,0,0,0,0,0,0
250,2020-05-17,0,29,0,12,0,0,22,0,0,0,10
251,2020-05-24,0,10,0,12,26,0,21,0,0,0,11
252,2020-05-31,0,30,0,23,0,0,21,0,46,0,14
253,2020-06-07,0,33,0,15,37,0,20,0,0,0,21
254,2020-06-14,46,27,0,40,25,0,0,0,0,0,28
255,2020-06-21,33,94,0,25,27,0,22,36,0,0,25
256,2020-06-28,33,43,0,24,0,0,44,35,0,0,10
257,2020-07-05,0,60,0,34,28,0,23,0,25,0,13
258,2020-07-12,0,49,0,64,28,0,23,37,26,0,29
259,2020-07-19,0,85,33,18,39,0,33,0,0,0,48
